formula,problem,target_noise,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
1/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_32,0,(-0.44131120232785437 add (inv((-0.10390761715632127 add (5.71938887875599 mul x_1))) mul (((-0.3176311431018801 mul x_0) sub (-3.2631534928643426 mul exp(((0.3158576228861361 mul x_2) add (1.9553194483034217 mul exp((0.3559486223373138 add (-0.47990993917666086 mul x_0)))))))) mul ((2.104703509651933 mul x_3) sub (-0.05476225648645826 mul cos((-0.2985254181375737 add (-5.108375499937273 mul x_3)))))))),0.003827588,0.992782884,0,0,0,0,41,0.992808668,0,0,0,0,41,167.5599782,4
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_33,0,(0.7492134713378029 add ((-0.02727635241721495 mul x_2) add ((-0.22024315080004972 mul x_0) add ((-0.02510514123649453 mul x_3) sub ((0.2146155690838023 mul x_1) sub (1.0039122007133987 mul (x_2 mul x_3))))))),9.34E-05,0.999655552,1,0,0,1,23,0.999650943,1,0,0,1,23,27.06228185,4
2*mom*B/(h/(2*pi)),feynman_III_7_38,0,(-0.7248471811076068 add (inv((0.0031739254214888284 add (1.0382654523478276 mul x_2))) mul (((9.016785142919696 add (3.058317208745247 mul x_1)))**2 mul ((0.2830520890703674 add (0.09840632928142312 mul x_0)))**2))),0.001984127,0.994843464,0,0,0,0,22,0.994962645,0,0,0,0,22,33.28064156,3
sin(E_n*t/(h/(2*pi)))**2,feynman_III_8_54,0,(-296.7348858295645 add ((-0.27143380477298945 mul cos(((3.904293044805875 mul x_2) add (-3.9974521364457836 mul (x_1 mul x_0))))) add (-297.24157685336684 mul sin((4.566200933971936 add (0.00022902362030747085 mul (x_2 mul ((-25.486017765663668 add (3.585575555772264 mul x_2)))**2))))))),0.248524395,0.2841737,0,0,0,0,30,0.275525423,0,0,0,0,30,2514.761181,3
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,feynman_III_9_52,0,(1.7565406204996339 add (inv((-0.09839156013958647 add (1.0351735053858746 mul x_3))) mul (exp(((0.5256939621439463 mul x_1) add (-0.9276565763755877 mul (((0.7435258530239242 mul x_4) sub (0.7442514135528234 mul x_5)))**2))) mul abs((-1.311954681286486 add (0.9307436914905661 mul (x_0 mul ((-3.192144790452474 mul x_2) sub (0.6366435337287298 mul x_0))))))))),0.027310525,0.942853389,0,0,0,0,39,0.941635273,0,0,0,0,39,4814.337865,6
sigma_den/epsilon*1/(1+chi),feynman_II_10_9,0,(-0.013928527333955762 add (inv((7.343310722823555 add (6.875901391809351 mul x_2))) mul ((1.45965325479614 mul x_0) sub (-0.0019342783737529364 mul exp(((1.5912455779830792 mul ((2.3810366376124956 add (-0.1324515344488798 mul x_1)))**2) add (0.31238173315655915 mul x_0))))))),0.001836073,0.994935983,0,0,0,0,28,0.994861975,0,0,0,0,28,57.31319976,3
n_rho*p_d**2*Ef/(3*kb*T),feynman_II_11_20,0,(0.0027963711272444743 add (((-0.058483200353368396 add (2.3335891226049634 mul x_1)))**2 mul (((23.12563246242712 add (7.8448978077883895 mul x_2)))**2 mul (inv((6.058810613911393e-10 add (5.1833093532965464e-08 mul x_4))) mul exp(((0.3287782560792332 mul x_0) sub (-27.65754128819511 mul sin((-1.1579443608910478 add (-0.08208872662819908 mul x_3)))))))))),0.005401541,0.991781254,0,0,0,0,36,0.991693574,0,0,0,0,36,107.8347645,5
n*alpha/(1-(n*alpha/3))*epsilon*Ef,feynman_II_11_27,0,(-0.23217246657638024 add (inv((70.17974508994682 add (-21.890741735127424 mul x_3))) mul (((0.18805120688291596 add (0.08237068732394855 mul x_0)))**2 mul ((16.89254892572392 mul x_1) sub ((71.49986361747766 mul x_3) sub ((16.90181236182936 mul abs((-19.262360853587772 add (6.908023291407608 mul x_2)))) add (-13.092079065216017 mul (((-2.2711081704939513 mul x_2) add (-4.764704044745544 mul x_1)) mul abs((3.251636775555386 add (8.626630993684616 mul (x_1 mul (x_2 mul x_0))))))))))))),0.003450101,0.9934514,0,0,0,0,53,0.993152151,0,0,0,0,53,51.78354096,4
1+n*alpha/(1-(n*alpha/3)),feynman_II_11_28,0,(1.1739883951056267 add (inv((83.00549734656505 add (-23.766800175736563 mul x_0))) mul ((0.2436597132896218 mul (x_0 mul ((5.478877532163216 add (14.151550115506053 mul x_1)))**2)) add ((43.71433926204657 mul x_1) add (-0.015958692198909098 mul ((31.67856025106504 add (29.672283607086673 mul x_1)))**2))))),2.38E-05,0.999503191,1,0,0,1,32,0.999503992,1,0,0,1,32,19.09634781,2
q*Ef/(m*(omega_0**2-omega**2)),feynman_II_11_3,0,(-0.010775204250249389 add (inv((0.26608095322849823 add (5.020252559778646 mul x_2))) mul (exp(((0.46463927320701914 mul x_1) add (0.46515973722777365 mul x_0))) mul inv(((0.03348293238652563 mul ((2.2093726722167895 add (2.6868973301663854 mul x_3)))**2) add (-0.9111772265493057 mul x_4)))))),0.002580774,0.992042588,0,0,0,0,31,0.991986614,0,0,0,0,31,100.7837365,5
1/(4*pi*epsilon*c**2)*2*I/r,feynman_II_13_17,0,(inv((-0.3266844396291938 add (10.605073400422382 mul x_0))) mul (inv((0.37461479166445044 add (11.502862603003834 mul x_3))) mul exp(((0.3279664536844663 mul x_2) add (0.9620235756821767 mul exp((1.7896029235721178 add (-0.6471353963870693 mul x_1)))))))),0.005208773,0.992798176,0,0,0,0,27,0.993025245,0,0,0,0,27,501.4098868,4
rho_c_0/sqrt(1-v**2/c**2),feynman_II_13_23,0,(-0.018477667448651428 add ((1.0181542684851637 mul x_0) sub (-0.5762032869343364 mul (exp(((-0.6693635814841393 mul x_2) add (1.808919076438927 mul x_1))) mul inv((5.479070682060697 add (-0.7582631719169101 mul x_0))))))),4.79E-05,0.999634368,1,0,0,1,23,0.999633322,1,0,0,1,23,58.22172785,3
rho_c_0*v/sqrt(1-v**2/c**2),feynman_II_13_34,0,(0.6205485953867486 add (inv(((30.5258609216222 mul inv((1.110201055876221 add (78.79994009778719 mul x_1)))) add (111.66346214256535 mul inv((327.5930073939341 add (-867.3128594921147 mul x_2)))))) mul ((0.36156337449356085 mul x_0) add (-0.29446809897973186 mul exp((0.3818766416832061 add (-0.7282115383695418 mul x_1))))))),8.52E-05,0.999489361,1,0,0,1,33,0.999511939,1,0,0,1,33,51.42502952,3
#NAME?,feynman_II_15_4,0,(-0.0679362750606596 add (((-0.1735742444100283 add (-0.06081179236312851 mul x_1)))**2 mul (cos((-3.1532928543083845 add (-0.9965684266293513 mul x_2))) mul ((4.045263810112382 add (1.3704715391996973 mul x_0)))**2))),0.001974139,0.996850301,0,0,0,0,22,0.996819843,0,0,0,0,22,56.83532953,3
#NAME?,feynman_II_15_5,0,(-0.05951970643327802 add ((((-16.09249648105447 add (-5.571296970258203 mul x_1)))**2 mul cos((-1.5708703242485877 add (-0.0026722126578213722 mul x_0)))) mul cos((6.270536868733382 add (-0.996124527186676 mul x_2))))),0.00098862,0.998421225,0,0,0,0,22,0.99836504,0,0,0,0,22,45.36946154,3
q/(4*pi*epsilon*r*(1-v/c)),feynman_II_21_32,0,(0.0001471993173427978 add (inv((-0.10309318851258355 add (10.011562383563403 mul x_1))) mul (inv((-0.7210380524473556 add (19.375749912526082 mul x_2))) mul (inv((0.00040477437825060813 add (-2.9676828525181295e-05 mul x_0))) mul ((0.004556092692964861 mul x_0) sub (0.5216677222919937 mul inv((46.22212513902337 add (-0.29313726376113763 mul (((135.2872079797824 mul x_4) add (1.7295787928215476 mul x_1)) mul inv((0.07411142235214488 add (0.9321388305853902 mul x_3))))))))))))),0.00355496,0.992101098,0,0,0,0,48,0.992536688,0,0,0,0,48,970.2895763,5
sqrt(omega**2/c**2-pi**2/d**2),feynman_II_24_17,0,(-5.693355690551038 add (((-0.6555639306720455 mul ((12.221759306849663 add (-0.5944856082999589 mul x_0)))**2) sub (-1.9144154227252739 mul tan((-1.5675575569808422 add (0.020766820191211465 mul x_1))))) mul ((-0.0011594145206489522 mul ((-6.3915415502459805 add (-0.54505725788037 mul x_0)))**2) sub (-1.4889914799477435 mul exp((-4.23646454007005 add (-0.04947840582077102 mul (x_1 mul x_2)))))))),6.93E-05,0.99892645,1,0,0,1,39,0.998910006,1,0,0,1,39,61.94562435,3
epsilon*c*Ef**2,feynman_II_27_16,0,(-1.632817958473889 add (((0.0052753393915723115 add (0.12097623959171178 mul x_2)))**2 mul (((1.657900977463086 add (0.5491756704776998 mul x_1)))**2 mul abs((0.4756792793603161 add (17.80741832690111 mul x_0)))))),0.001009889,0.997907502,0,0,0,0,22,0.997919538,0,0,0,0,22,25.17828918,3
epsilon*Ef**2,feynman_II_27_18,0,(-7.695909501314153e-09 add (((-3.41029875403193e-11 add (0.8588720208028283 mul x_1)))**2 mul abs((1.366387161903765e-09 add (1.3556359885223257 mul x_0))))),3.86E-20,1,1,1,1,1,15,1,1,1,1,1,15,34.45190001,2
kappa*(T2-T1)*A/d,feynman_II_2_42,0,(0.005453440037758758 add ((inv((0.028947034862771698 add (-2.614563181187601 mul x_4))) mul (((2.6873630464646556 add (0.9379220130229136 mul x_0)))**2 mul ((-0.5803286468368993 mul x_2) sub (-0.5806204917794731 mul x_1)))) mul abs((0.013710666084842659 add (-0.43291956333909953 mul x_3))))),0.001034008,0.998965984,0,0,0,0,30,0.998956452,0,0,0,0,30,57.48170853,5
g_*q*B/(2*m),feynman_II_34_11,0,(-0.111863792858019 add (((0.08871929878083064 add (0.029593960975903978 mul x_1)))**2 mul (((3.0641123323395547 add (1.0371531969209866 mul x_0)))**2 mul (inv((0.007222722569091955 add (1.7806518715678827 mul x_3))) mul ((2.0934712114479783 add (0.7295162078198094 mul x_2)))**2)))),0.00301665,0.993541076,0,0,0,0,29,0.993418279,0,0,0,0,29,30.71134233,4
q*v*r/2,feynman_II_34_2,0,(-0.3417909901786496 add (((-7.736091087872359 add (-2.5657207207510053 mul x_0)))**2 mul (sin((0.00010405632113189613 add (0.002124712737246448 mul x_2))) mul abs((0.14431741134071563 add (2.8374862804468406 mul x_1)))))),0.000971884,0.997130715,0,0,0,0,22,0.997147451,0,0,0,0,22,40.87842226,3
q*h/(4*pi*m),feynman_II_34_29a,0,(-5.582195259837303e-06 add (inv((-0.0006121893408009838 add (-310.54597036097834 mul x_2))) mul ((-0.0012301050774349077 mul x_0) add ((-8.623383039265202e-08 mul ((50.0452628598379 add (39.80946641815912 mul x_2)))**2) add ((-0.000155690312773763 mul x_1) sub (24.712278558674726 mul (x_0 mul x_1))))))),1.99E-11,1,1,1,1,1,31,1,1,1,1,1,31,71.88830948,3
g_*mom*B*Jz/(h/(2*pi)),feynman_II_34_29b,0,(-1.4707307707282773 add ((inv((-0.3607258591167039 add (17.400020961721083 mul x_1))) mul ((0.43583711158923244 add (0.14944253761827012 mul x_3)))**2) mul (((-27.381274141032037 add (-9.350441524400784 mul x_4)))**2 mul abs((-0.008606562324338426 add (-0.37802618348692674 mul (x_2 mul x_0))))))),0.001986977,0.996294437,0,0,0,0,31,0.996257573,0,0,0,0,31,96.11331224,5
q*v/(2*pi*r),feynman_II_34_2a,0,(-0.012830457942965903 add (inv((0.7136441247348176 add (22.865186489193007 mul x_2))) mul ((0.14635748312424235 add (0.3038448169849533 mul (sin((0.25917935907804873 add (0.17062842370984319 mul x_1))) mul abs((-12.696023348176256 add (-4.538084490172697 mul x_0)))))))**2)),0.001042395,0.99730086,0,0,0,0,27,0.997385692,0,0,0,0,27,41.61637497,3
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),feynman_II_35_18,0,(-0.011800855730681932 add ((inv((7.812336238935471 add (-0.019724539025770513 mul x_4))) mul ((-1.1851000081339247 mul x_4) sub (0.7618754156863806 mul (((-1.4266433225884372 mul x_3) add ((1.6687942613874198 mul x_2) add (8.68474994557118 mul arctan((0.4109380931053682 add (0.800112465937504 mul x_1)))))) mul inv((-2.4873469585270787 add (0.28872481345776363 mul x_4))))))) mul ((1.4478025967173302 mul x_0) sub (-0.20694579413791944 mul cos((-4.059414301087517 add (2.3174019228233513 mul x_2))))))),0.005087635,0.976600476,0,0,0,0,51,0.976255123,0,0,0,0,51,11854.68905,5
n_rho*mom*tanh(mom*B/(kb*T)),feynman_II_35_21,0,(-0.213917771914535 add (abs((0.01797062260266526 add (0.2740428887857323 mul (cos((-4.666755138275373 add (-0.2745852797695978 mul x_1))) mul x_0)))) mul ((2.19351211118681 mul x_1) sub (-8.624792420566179 mul cos(((-0.3126345092174104 mul x_2) add (2.130629983764385 mul arctan((0.2685487190298643 add (0.10457651582031226 mul (x_3 mul x_4))))))))))),0.002987862,0.991544785,0,0,0,0,37,0.991409674,0,0,0,0,37,5556.115544,5
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,feynman_II_36_38,0,(0.004661547025722246 add (inv((0.5965799123650212 add (56.96265029570407 mul x_3))) mul (inv((1.2299859528517596 add (53.3594833225157 mul x_2))) mul (((-22.209169310543018 mul x_5) sub (-73.99161890486221 mul exp(((0.0966715141247527 mul x_4) add (0.37654329114716134 mul x_0))))) mul ((41.73159934298734 mul x_1) add (97.88347625831966 mul exp(((-1.283784846415517 mul x_6) add (0.5074594382311912 mul x_7))))))))),0.007884709,0.975086018,0,0,0,0,45,0.975193517,0,0,0,0,45,5193.972502,8
mom*(1+chi)*B,feynman_II_37_1,0,(-0.511253891737399 add (((-20.939505278919974 mul x_0) add (0.0005154787442233278 mul ((11.371904968427845 add (-5.950028490222929 mul x_1)))**3)) mul ((0.03903894727400557 mul x_2) sub (1.936389512385491 mul cos((-7.792122707260901 add (0.03435961571069767 mul (x_1 mul x_2)))))))),0.000506918,0.99831406,0,0,0,0,29,0.998246564,0,0,0,0,29,21.26203156,3
Y/(2*(1+sigma)),feynman_II_38_14,0,(0.2465530229214008 add ((inv((-5.751276240074822 add (-5.751295895551184 mul x_1))) mul ((-24.422687930517572 add (-0.00753648243091292 mul x_1)))**2) mul (((2.8001012017766592e-05 mul x_1) sub (-8.00711962253785 mul sin((3.14158915657563 add (7.091809770709907e-06 mul x_0))))) mul exp((4.441489457082622 add (-0.0006163590639961088 mul x_1)))))),1.95E-16,1,1,1,1,1,35,1,1,1,1,1,35,18.90518832,2
Y*A*x/d,feynman_II_38_3,0,(-0.3062482307144501 add (((0.11557113899439429 add (0.03938209742882428 mul x_0)))**2 mul (((-2.005778269121539 add (-0.6668762765124269 mul x_1)))**2 mul (inv((0.02855510846723338 add (1.5493335271551893 mul x_2))) mul ((3.3248459170476483 add (1.1172403399343804 mul x_3)))**2)))),0.00295724,0.993592357,0,0,0,0,29,0.993391496,0,0,0,0,29,49.39631462,4
Pwr/(4*pi*r**2),feynman_II_3_24,0,(2.1547366767430336e-05 add (inv(((5.0606340466553754e-08 mul ((16.823308739797426 add (4.945678809913853 mul (((56.39185811709194 add (0.018805689911884044 mul x_1)))**2 mul x_1))))**2) add (0.11256345316089708 mul inv((9.025952192251955 add (0.36513615491797846 mul x_0)))))) mul x_0)),6.43E-08,0.99999989,1,0,1,1,29,0.999999885,1,0,1,1,29,30.43695807,2
q/(4*pi*epsilon*r),feynman_II_4_23,0,(-0.0005733057406659278 add (inv((0.2999678706024886 add (3.699258218022749 mul x_2))) mul (inv((-0.45665597973116956 add (8.980260321401516 mul x_1))) mul ((1.3913475364634138 add (0.4710923318938852 mul x_0)))**2))),0.001455428,0.996619787,0,0,0,0,22,0.996490023,0,0,0,0,22,29.57310319,3
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,feynman_II_6_11,0,(0.000493821102528443 add ((inv((1.0290926892579833 add (17.736840752077644 mul x_0))) mul ((-0.06349232490168494 mul (((1.2872339009050218 add (0.731279223874375 mul x_1)))**2 mul ((2.4398265434809243 add (-0.7092340227137499 mul x_3)))**3)) sub (0.01743279576864616 mul (x_3 mul (x_2 mul x_3))))) mul sin((-1.6371599467955291 add (1.0444256119447592 mul x_2))))),0.007102388,0.99111453,0,0,0,0,39,0.990853512,0,0,0,0,39,876.1175816,4
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),feynman_II_6_15a,0,(0.0167198446636931 add (exp(((-4.2234388073313305 mul x_2) add (0.48025394479308575 mul x_5))) mul (inv((77.39864211088168 add (-10.7289179727238 mul x_4))) mul exp(((0.49027251138870365 mul x_1) add (7.236166050157284 mul exp(((-0.086393403816096 mul x_0) sub (-0.033516080782969915 mul x_3))))))))),0.00768534,0.990377752,0,0,0,0,33,0.990139317,0,0,0,0,33,120.7425628,6
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,feynman_II_6_15b,0,(-0.0006286182508381685 add ((exp((-5.509877309563265 add (-2.136430138948205 mul x_3))) mul inv((-0.0009154824320003292 add (0.0669175065590378 mul x_0)))) mul (((2.514048312532346 add (1.4529897061074801 mul x_1)))**2 mul cos((-1.5993310408768038 add (2.0112183518090836 mul x_2)))))),0.005747807,0.993624185,0,0,0,0,29,0.993711584,0,0,0,0,29,86.06607556,4
epsilon*Ef**2/2,feynman_II_8_31,0,(-1.364565387455929e-07 add (abs((-4.66659704695889e-09 add (-0.227350651023928 mul x_0))) mul (((-1.4829854802496332 mul x_1) add (-1.6472247024206468 mul cos((1.5707965460376514 add (1.754644425459749e-06 mul (inv((0.8053163711115542 add (-7.633789321241734 mul x_1))) mul x_1)))))))**2)),2.32E-18,1,1,1,1,1,29,1,1,1,1,1,29,23.86232281,2
3/5*q**2/(4*pi*epsilon*d),feynman_II_8_7,0,(inv((-1.4081617685431917 add (137.59153074623367 mul x_1))) mul ((1.1720780268151572 mul x_0) add (-2.5436489601975323 mul (((-18.47643127873263 mul exp(((-0.15188817103664867 mul x_2) add (0.033256362780372486 mul x_0)))) add (1.4205534048894422 mul ((3.4459047043347804 add (-0.21490204147148678 mul x_2)))**2)))**3))),0.0019543,0.996468567,0,0,0,0,33,0.996420741,0,0,0,0,33,38.33818436,3
m_0/sqrt(1-v**2/c**2),feynman_I_10_7,0,(-0.0011529391873321792 add ((1.011687124319966 mul x_0) sub (-0.6463071801406767 mul (exp(((-0.6289570040298688 mul x_2) add (1.7282807163683962 mul x_1))) mul cos((1.572477162277678 add (-0.10088580596748002 mul x_0))))))),1.93E-05,0.999851687,1,0,1,1,23,0.99985341,1,0,1,1,23,72.72268987,3
x1*y1+x2*y2+x3*y3,feynman_I_11_19,0,(0.0004422737722955366 add ((-0.00012435991551161863 mul x_3) sub ((-0.003836827950864507 mul (x_1 mul ((130.81409344144052 mul x_4) add (129.81527193558335 mul x_4)))) sub ((-1835.096836803486 mul x_0) add ((1027.9048573196958 mul (x_0 mul exp((0.5795757104686451 add (0.0005440622888907136 mul x_3))))) sub (-1.0000050902738853 mul (x_5 mul x_2))))))),1.36E-09,0.999999986,1,1,1,1,38,0.999999986,1,1,1,1,38,2592.847981,6
mu*Nn,feynman_I_12_1,0,(-8.640768452485301e-09 add (((0.5486229386048925 mul x_1) add (7.925010889407646e-12 mul x_0)) mul abs((-5.050376823724026e-09 add (-1.822745513279551 mul x_0))))),9.54E-20,1,1,1,1,1,16,1,1,1,1,1,16,31.92998958,2
q*(Ef+B*v*sin(theta)),feynman_I_12_11,0,(0.03957847479642959 add (((8.69001942252482 mul x_1) sub (0.21774627340829547 mul (((-0.2504218911782051 add (-0.08941303158892963 mul x_2)))**2 mul (((17.15432141346076 add (6.048193147253402 mul x_3)))**2 mul sin((-3.103886226776859 add (0.9889033159276474 mul x_4))))))) mul ((-0.27755983288136077 add (-0.09909993016971168 mul x_0)))**2)),0.00274158,0.996785223,0,0,0,0,35,0.996798625,0,0,0,0,35,762.0871239,5
q1*q2*r/(4*pi*epsilon*r**3),feynman_I_12_2,0,(0.0036809459383219285 add (inv((-1.3974882360352259 add (19.353373923962344 mul x_2))) mul ((0.29161523510000104 add (-1.4874237349840782 mul (inv((0.35651093453377997 add (2.4712537641533046 mul x_3))) mul ((1.19149598086681 mul x_0) add (1.1824588183018803 mul x_1))))))**2)),0.005925653,0.991613793,0,0,0,0,28,0.990968844,0,0,0,0,28,143.1047995,4
q1*r/(4*pi*epsilon*r**3),feynman_I_12_4,0,(-0.0016200152363859892 add (inv((8.770171802138531 add (-0.0001458657816531039 mul (((-3.9707587859517073 add (-8.995780882377955 mul x_2)))**2 mul ((21.616871676354545 add (6.100470843113552 mul x_1)))**2)))) mul ((-0.8838920890112062 add (-0.14522267355173638 mul x_0)))**3)),0.004544575,0.993128513,0,0,0,0,27,0.993588496,0,0,0,0,27,36.28629899,3
q2*Ef,feynman_I_12_5,0,(1.2066136113343594e-07 add (((1.280073840860725e-08 mul x_1) add (1.2336199718556644 mul x_0)) mul abs((2.0209097907973898e-08 add (-0.8106224011445697 mul x_1))))),7.60E-17,1,1,1,1,1,16,1,1,1,1,1,16,24.35131145,2
G*m1*m2*(1/r2-1/r1),feynman_I_13_12,0,(-0.03963385731109924 add (exp(((0.32827735600396396 mul x_4) add (0.320604107734802 mul x_1))) mul (((0.09584437911464355 mul exp((2.2866561253915525 add (-0.8826753141649583 mul x_3)))) add (-1.9757540438228518 mul exp((-0.6802415188487795 add (-0.9110385042282795 mul x_2))))) mul abs((-0.024485887590656445 add (-2.1467230323550943 mul x_0)))))),0.010267097,0.991732709,0,0,0,0,35,0.991853815,0,0,0,0,35,4880.343516,5
1/2*m*(v**2+u**2+w**2),feynman_I_13_4,0,(0.23949104440945035 add (((0.0015610848317656517 mul ((-17.360179221792936 add (17.060250321063933 mul x_2)))**2) add (-285.5360580331381 mul x_0)) mul ((-0.010509176748609819 mul x_3) sub ((-1.6614466428869152 mul cos((-0.0037039547954482613 add (0.046954577695065405 mul x_2)))) add ((0.06103989009090784 mul x_1) add (34.57277228673106 mul inv((20.968634432729647 add (0.79400460711928 mul x_1))))))))),0.001306065,0.994651852,0,0,0,0,40,0.994786581,0,0,0,1,40,2417.034296,4
m*g*z,feynman_I_14_3,0,(-5.621769916858128 add (((3.6748739905960814 add (1.486237038280995 mul x_1)))**2 mul ((1.9623081049112407 mul (abs((-0.16730721170084079 add (-0.08398632533365995 mul x_0))) mul ((0.10306434870606072 mul ((1.6063605531999738 add (0.35440561392894576 mul x_2)))**2) sub (183.35712324224272 mul abs((-1.1537668368249746e-07 add (0.00026036888500139495 mul x_1))))))) add (5.458172736255076e-07 mul (x_2 mul ((-20483.9640713565 mul x_2) add (21371.477161530052 mul x_0))))))),0.000452332,0.998668801,0,0,0,0,47,0.998631795,0,0,0,0,47,35.4808569,3
